index,name,listingURL,address,latlon,status,timezone
1,Cinesphere Theater,https://ontarioplace.com/en/cinesphere/,"955 Lake Shore Blvd W, Toronto ON M6K 3B9","43.62762656047739, -79.41814311967651","Closed as of October 17, 2022 for renovations",America/Toronto
2,Tiff Bell Lightbox,https://www.tiff.net/calendar,"350 King St W, Toronto, ON M5V 3X5","43.64649695542554, -79.39042702696827","",America/Toronto
3,Cineplex Yonge & Dundas,https://www.cineplex.com/Theatre/cineplex-cinemas-yongedundas-and-vip,"10 Dundas St E #402, Toronto, ON M5B 2G9","43.65646810452327, -79.38051208465822","",America/Toronto
4,Cineplex Varsity,http://cineplex.com/theatre/cineplex-cinemas-varsity-and-vip,"55 Bloor St W, Toronto, ON M4W 1A5","43.669142137013885, -79.38839796136706","",America/Toronto
5,Cineplex Yonge & Eglington,https://www.cineplex.com/Theatre/cineplex-cinemas-yongeeglinton-and-vip,"2300 Yonge St, Toronto, ON M4P 1E4","43.707438846792456, -79.3986548719173","",America/Toronto
6,Cineplex Beaches,https://www.cineplex.com/Theatre/cineplex-cinemas-beaches,"1651 Queen St E, Toronto, ON M4L 1G5","43.667198401345004, -79.3145080159585","",America/Toronto
7,Cineplex Don Mills,https://www.cineplex.com/Theatre/cineplex-vip-cinemas-don-mills-age-restricted-19,"12 Marie Labatte Rd, Toronto, ON M3C 0H9","43.73430323553012, -79.3462797295871","",America/Toronto
8,Cineplex Yorkdale,https://www.cineplex.com/Theatre/cineplex-cinemas-yorkdale,"Yorkdale Shopping Centre, 3401 Dufferin Street c/o Yorkdale Shopping Centre, Toronto, ON M6A 2T9","43.72711491623637, -79.45068277376456","",America/Toronto
9,Cineplex Empress walk,https://www.cineplex.com/Theatre/cineplex-cinemas-empress-walk,"Empress Walk, 5095 Yonge St 3rd Floor, North York, ON M2N 6Z4","43.76886073295243, -79.41200174123122","",America/Toronto
10,Scotiabank Theater,https://www.cineplex.com/Theatre/scotiabank-theatre-toronto,"259 Richmond St W, Toronto, ON M5V 3M6","43.6490127384623, -79.39075833384382","",America/Toronto
11,Cineplex Fairview Mall,"https://www.cineplex.com/Theatre/cineplex-cinemas-fairview-mall","1800 Sheppard Ave E Unit Y007, North York, ON M2J 5A7","43.77877012816078, -79.34378592329118","",America/Toronto
12,Cineplex Odeon Eglington Town Center,"https://www.cineplex.com/Theatre/cineplex-odeon-eglinton-town-centre-cinemas","22 Lebovic Ave, Scarborough, ON M1L 4V9","43.72312499149272, -79.29168076192411","",America/Toronto
13,Tiff Digital Bell Lightbox,"https://digital.tiff.net/","https://digital.tiff.net/","43.64649695542554, -79.39042702696827","",America/Toronto
14,The Revue,"https://revuecinema.ca/schedule/","400 Roncesvalles Ave, Toronto, ON M6R 2M9","43.65159727645533, -79.45107806931647","",America/Toronto
15,The Fox,"https://www.foxtheatre.ca/whats-playing/","2236 Queen St. E Toronto, ON M4E 1G2","43.67353784508737, -79.2871821539747","",America/Toronto